Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range
-0.948944091796875;871.500973799672;-1.33026123046875E-05;-0.9490966796875;235;100 µA
-0.9478759765625;871.714596799132;-1.32476806640625E-05;-0.94818115234375;236;100 µA
-0.946807861328125;871.928219798593;-1.27960205078125E-05;-0.94696044921875;237;100 µA
-0.94573974609375;872.141842798054;-1.28631591796875E-05;-0.94573974609375;238;100 µA
-0.944671630859375;872.355465797514;-1.300048828125E-05;-0.94482421875;239;100 µA
-0.943603515625;872.569088796975;-1.24908447265625E-05;-0.94451904296875;240;100 µA
-0.942535400390625;872.782711796435;-1.24786376953125E-05;-0.9423828125;241;100 µA
-0.94146728515625;872.996334795896;-1.2774658203125E-05;-0.9423828125;242;100 µA
-0.940399169921875;873.209957795357;-1.2200927734375E-05;-0.94146728515625;243;100 µA
-0.9393310546875;873.423580794817;-1.21185302734375E-05;-0.93994140625;244;100 µA
-0.938262939453125;873.637203794278;-1.23870849609375E-05;-0.93994140625;245;100 µA
-0.93719482421875;873.850826793739;-1.20452880859375E-05;-0.93719482421875;246;100 µA
-0.936126708984375;874.064449793199;-1.1865234375E-05;-0.93719482421875;247;100 µA
-0.93505859375;874.27807279266;-1.21124267578125E-05;-0.93597412109375;248;100 µA
-0.933990478515625;874.491695792121;-1.17340087890625E-05;-0.93475341796875;249;100 µA
-0.93292236328125;874.705318791581;-1.1553955078125E-05;-0.9356689453125;250;100 µA
-0.931854248046875;874.918941791042;-1.182861328125E-05;-0.9326171875;251;100 µA
-0.9307861328125;875.132564790503;-1.15509033203125E-05;-0.93170166015625;252;100 µA
-0.929718017578125;875.346187789963;-1.11297607421875E-05;-0.93017578125;253;100 µA
-0.92864990234375;875.559810789424;-1.158447265625E-05;-0.92987060546875;254;100 µA
-0.927581787109375;875.773433788885;-1.136474609375E-05;-0.9283447265625;255;100 µA
-0.926513671875;875.987056788345;-1.09100341796875E-05;-0.92864990234375;256;100 µA
-0.925445556640625;876.200679787806;-1.12762451171875E-05;-0.92620849609375;257;100 µA
-0.92437744140625;876.414302787267;-1.123046875E-05;-0.9246826171875;258;100 µA
-0.923309326171875;876.627925786727;-1.07696533203125E-05;-0.9234619140625;259;100 µA
-0.9222412109375;876.841548786188;-1.10321044921875E-05;-0.9228515625;260;100 µA
-0.921173095703125;877.055171785649;-1.103515625E-05;-0.92132568359375;261;100 µA
-0.92010498046875;877.268794785109;-1.072998046875E-05;-0.92041015625;262;100 µA
-0.919036865234375;877.48241778457;-1.07635498046875E-05;-0.91949462890625;263;100 µA
-0.91796875;877.696040784031;-1.092529296875E-05;-0.91827392578125;264;100 µA
-0.916900634765625;877.909663783491;-1.04461669921875E-05;-0.91766357421875;265;100 µA
-0.91583251953125;878.123286782952;-1.06170654296875E-05;-0.916748046875;266;100 µA
-0.914764404296875;878.336909782412;-1.07666015625E-05;-0.914306640625;267;100 µA
-0.9136962890625;878.550532781873;-1.03302001953125E-05;-0.91461181640625;268;100 µA
-0.912628173828125;878.764155781334;-1.03515625E-05;-0.91278076171875;269;100 µA
-0.91156005859375;878.977778780794;-1.07147216796875E-05;-0.9130859375;270;100 µA
-0.910491943359375;879.191401780255;-1.00860595703125E-05;-0.91094970703125;271;100 µA
-0.909423828125;879.405024779716;-1.01104736328125E-05;-0.90972900390625;272;100 µA
-0.908355712890625;879.618647779176;-1.05438232421875E-05;-0.90911865234375;273;100 µA
-0.90728759765625;879.832270778637;-9.930419921875E-06;-0.90911865234375;274;100 µA
-0.906219482421875;880.045893778098;-9.8968505859375E-06;-0.906982421875;275;100 µA
-0.9051513671875;880.259516777558;-1.02813720703125E-05;-0.90728759765625;276;100 µA
-0.904083251953125;880.473139777019;-9.857177734375E-06;-0.9051513671875;277;100 µA
-0.90301513671875;880.68676277648;-9.7442626953125E-06;-0.9039306640625;278;100 µA
-0.901947021484375;880.90038577594;-1.0174560546875E-05;-0.9027099609375;279;100 µA
-0.90087890625;881.114008775401;-9.7869873046875E-06;-0.90179443359375;280;100 µA
-0.899810791015625;881.327631774862;-9.6038818359375E-06;-0.90057373046875;281;100 µA
-0.89874267578125;881.541254774322;-9.9151611328125E-06;-0.89996337890625;282;100 µA
-0.897674560546875;881.754877773783;-9.6160888671875E-06;-0.89874267578125;283;100 µA
-0.8966064453125;881.968500773244;-9.2620849609375E-06;-0.89752197265625;284;100 µA
-0.895538330078125;882.182123772704;-1.009521484375E-05;-0.8966064453125;285;10 µA
-0.89447021484375;882.395746772165;-9.698486328125E-06;-0.8966064453125;286;10 µA
-0.893402099609375;882.609369771626;-9.04541015625E-06;-0.89324951171875;287;10 µA
-0.892333984375;882.822992771086;-9.9273681640625E-06;-0.8929443359375;288;10 µA
-0.891265869140625;883.036615770547;-9.5489501953125E-06;-0.8917236328125;289;10 µA
-0.89019775390625;883.250238770008;-8.807373046875E-06;-0.8917236328125;290;10 µA
-0.889129638671875;883.463861769468;-9.19189453125E-06;-0.89080810546875;291;10 µA
-0.8880615234375;883.677484768929;-9.3292236328125E-06;-0.88836669921875;292;10 µA
-0.886993408203125;883.891107768389;-8.514404296875E-06;-0.887451171875;293;10 µA
